position,name,title,description,semantic_type,semantic_type_basis,source_kind,section,codebook_pages,special_values,blank_meaning,temporal_role,leakage_risk,leakage_reason,competition_use,staff_question,train_missing_fraction,test_missing_fraction,missing_fraction_difference,train_unique_count,train_top_values,test_top_values,train_min,train_max,exact_duplicate_of
0,Id,Project row identifier,Identifier assigned to each project observation.,identifier,Project file structure,project_identifier,,[],[],Not blank,not_applicable,none,,include,,0.0,0.0,0.0,328135,[],[],0,328134,
1,_STATE,State FIPS Code,State FIPS Code,categorical,Named categories without a useful numeric distance,core_survey,0.1,"[2, 3]",[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,53,"[{""value"": ""20"", ""count"": 17383, ""fraction"": 0.0529751474240785}, {""value"": ""31"", ""count"": 12959, ""fraction"": 0.039492891645207}, {""value"": ""27"", ""count"": 12575, ""fraction"": 0.0383226415956847}, {""value"": ""53"", ""count"": 11997, ""fraction"": 0.03656117146905999}, {""value"": ""48"", ""count"": 10885, ""fraction"": 0.03317232236731833}, {""value"": ""8"", ""count"": 10065, ""fraction"": 0.030673350907400917}, {""value"": ""6"", ""count"": 9432, ""fraction"": 0.0287442668413915}, {""value"": ""24"", ""count"": 9343, ""fraction"": 0.028473037012205344}, {""value"": ""36"", ""count"": 9194, ""fraction"": 0.028018955612781324}, {""value"": ""9"", ""count"": 8878, ""fraction"": 0.027055937342861932}]","[{""value"": ""20"", ""count"": 5652, ""fraction"": 0.05167353879629545}, {""value"": ""31"", ""count"": 4424, ""fraction"": 0.04044652081295313}, {""value"": ""27"", ""count"": 4087, ""fraction"": 0.037365490633485404}, {""value"": ""53"", ""count"": 3966, ""fraction"": 0.0362592453761691}, {""value"": ""48"", ""count"": 3661, ""fraction"": 0.033470775925908997}, {""value"": ""8"", ""count"": 3372, ""fraction"": 0.0308285868402527}, {""value"": ""24"", ""count"": 3140, ""fraction"": 0.028707521553497473}, {""value"": ""6"", ""count"": 3104, ""fraction"": 0.028378390733138904}, {""value"": ""36"", ""count"": 3064, ""fraction"": 0.02801268982162938}, {""value"": ""39"", ""count"": 2978, ""fraction"": 0.02722643286188391}]",1.0,72.0,
2,FMONTH,File Month,File Month,categorical,Named categories without a useful numeric distance,core_survey,0.8,[3],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,12,"[{""value"": ""1"", ""count"": 32926, ""fraction"": 0.10034284669419599}, {""value"": ""10"", ""count"": 31335, ""fraction"": 0.09549423255672208}, {""value"": ""7"", ""count"": 30716, ""fraction"": 0.0936078138571015}, {""value"": ""4"", ""count"": 30272, ""fraction"": 0.09225471223734134}, {""value"": ""2"", ""count"": 27550, ""fraction"": 0.08395934600088378}, {""value"": ""3"", ""count"": 25980, ""fraction"": 0.07917472991299312}, {""value"": ""11"", ""count"": 25512, ""fraction"": 0.07774848766513782}, {""value"": ""5"", ""count"": 25002, ""fraction"": 0.07619424931811603}, {""value"": ""12"", ""count"": 24955, ""fraction"": 0.07605101558809636}, {""value"": ""9"", ""count"": 24787, ""fraction"": 0.07553903119143035}]","[{""value"": ""1"", ""count"": 11001, ""fraction"": 0.10057689318790627}, {""value"": ""10"", ""count"": 10541, ""fraction"": 0.09637133270554676}, {""value"": ""7"", ""count"": 10217, ""fraction"": 0.09340915532231964}, {""value"": ""4"", ""count"": 9964, ""fraction"": 0.09109609705702192}, {""value"": ""2"", ""count"": 9261, ""fraction"": 0.08466890353724206}, {""value"": ""3"", ""count"": 8786, ""fraction"": 0.08032620521306649}, {""value"": ""11"", ""count"": 8565, ""fraction"": 0.07830570767697638}, {""value"": ""8"", ""count"": 8268, ""fraction"": 0.07559037840901818}, {""value"": ""6"", ""count"": 8256, ""fraction"": 0.07548066813556532}, {""value"": ""5"", ""count"": 8198, ""fraction"": 0.07495040181387652}]",1.0,12.0,
3,IDATE,Interview Date,Interview Date,date,Calendar month and year or complete interview date,core_survey,0.9,[4],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,>256,[],[],1012016.0,12312015.0,
4,IMONTH,Interview Month,Interview Month,categorical,Named categories without a useful numeric distance,core_survey,0.10,[4],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,12,"[{""value"": ""3"", ""count"": 31444, ""fraction"": 0.09582641290932085}, {""value"": ""11"", ""count"": 29486, ""fraction"": 0.08985935666722537}, {""value"": ""2"", ""count"": 29161, ""fraction"": 0.08886891066177031}, {""value"": ""1"", ""count"": 27937, ""fraction"": 0.08513873862891798}, {""value"": ""7"", ""count"": 27512, ""fraction"": 0.0838435400063998}, {""value"": ""12"", ""count"": 27174, ""fraction"": 0.08281347616072653}, {""value"": ""6"", ""count"": 26894, ""fraction"": 0.08196016883294985}, {""value"": ""8"", ""count"": 26873, ""fraction"": 0.0818961707833666}, {""value"": ""4"", ""count"": 26611, ""fraction"": 0.08109771892666129}, {""value"": ""10"", ""count"": 26443, ""fraction"": 0.08058573452999528}]","[{""value"": ""3"", ""count"": 10599, ""fraction"": 0.09690159902723558}, {""value"": ""11"", ""count"": 10000, ""fraction"": 0.09142522787738049}, {""value"": ""2"", ""count"": 9705, ""fraction"": 0.08872818365499777}, {""value"": ""1"", ""count"": 9281, ""fraction"": 0.08485175399299683}, {""value"": ""7"", ""count"": 9124, ""fraction"": 0.08341637791532196}, {""value"": ""8"", ""count"": 9122, ""fraction"": 0.08339809286974648}, {""value"": ""6"", ""count"": 8998, ""fraction"": 0.08226442004406696}, {""value"": ""4"", ""count"": 8926, ""fraction"": 0.08160615840334982}, {""value"": ""12"", ""count"": 8884, ""fraction"": 0.08122217244626483}, {""value"": ""10"", ""count"": 8776, ""fraction"": 0.08023477998518912}]",1.0,12.0,
5,IDAY,Interview Day,Interview Day,categorical,Named categories without a useful numeric distance,core_survey,0.11,[5],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,31,"[{""value"": ""9"", ""count"": 13815, ""fraction"": 0.04210157404726713}, {""value"": ""8"", ""count"": 12911, ""fraction"": 0.03934661038901672}, {""value"": ""7"", ""count"": 12788, ""fraction"": 0.0389717646700291}, {""value"": ""14"", ""count"": 12744, ""fraction"": 0.03883767351852134}, {""value"": ""12"", ""count"": 12662, ""fraction"": 0.0385877763725296}, {""value"": ""11"", ""count"": 12630, ""fraction"": 0.038490255535069406}, {""value"": ""10"", ""count"": 12460, ""fraction"": 0.03797217608606214}, {""value"": ""13"", ""count"": 12361, ""fraction"": 0.03767047099516967}, {""value"": ""3"", ""count"": 12333, ""fraction"": 0.037585140262392}, {""value"": ""6"", ""count"": 12175, ""fraction"": 0.037103631127432306}]","[{""value"": ""9"", ""count"": 4662, ""fraction"": 0.04262244123643478}, {""value"": ""8"", ""count"": 4337, ""fraction"": 0.03965112133041992}, {""value"": ""12"", ""count"": 4265, ""fraction"": 0.03899285968970278}, {""value"": ""11"", ""count"": 4244, ""fraction"": 0.03880086671116028}, {""value"": ""7"", ""count"": 4229, ""fraction"": 0.03866372886934421}, {""value"": ""10"", ""count"": 4188, ""fraction"": 0.038288885435046945}, {""value"": ""3"", ""count"": 4153, ""fraction"": 0.037968897137476115}, {""value"": ""14"", ""count"": 4153, ""fraction"": 0.037968897137476115}, {""value"": ""6"", ""count"": 4082, ""fraction"": 0.037319778019546716}, {""value"": ""13"", ""count"": 4031, ""fraction"": 0.036853509357372076}]",1.0,31.0,
6,IYEAR,Interview Year,Interview Year,categorical,Named categories without a useful numeric distance,core_survey,0.12,[6],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,2,"[{""value"": ""2015"", ""count"": 320011, ""fraction"": 0.9752418973897938}, {""value"": ""2016"", ""count"": 8124, ""fraction"": 0.024758102610206164}]","[{""value"": ""2015"", ""count"": 106665, ""fraction"": 0.975187193154079}, {""value"": ""2016"", ""count"": 2714, ""fraction"": 0.024812806845921062}]",2015.0,2016.0,
7,DISPCODE,Final Disposition,Final Disposition,survey_design,Survey administration or weighting variable,core_survey,0.14,[6],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,2,"[{""value"": ""1100"", ""count"": 278866, ""fraction"": 0.8498514330991818}, {""value"": ""1200"", ""count"": 49269, ""fraction"": 0.15014856690081826}]","[{""value"": ""1100"", ""count"": 92992, ""fraction"": 0.8501814790773367}, {""value"": ""1200"", ""count"": 16387, ""fraction"": 0.1498185209226634}]",1100.0,1200.0,
8,SEQNO,Annual Sequence Number,Annual Sequence Number,identifier,Explicit identifier,core_survey,0.15,[6],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,>256,[],[],2015000001.0,2015023235.0,
9,_PSU,Primary Sampling Unit,Primary Sampling Unit (Equal to Annual Sequence Number),identifier,Explicit identifier,core_survey,0.16,[6],[],No documented blank category,contemporaneous,none,,include,,0.0,0.0,0.0,>256,[],[],2015000001.0,2015023235.0,SEQNO
