feature,semantic_type,code,development_rows,description,status
IDAY,categorical,9,11047,Interview Day,codebook meaning requires manual verification
IDAY,categorical,7,10195,Interview Day,codebook meaning requires manual verification
HIVTST6,categorical,7,6769,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include testing fluid from your mouth.,codebook meaning requires manual verification
BLOODCHO,categorical,7,5499,Blood cholesterol is a fatty substance found in the blood. Have you EVER had your blood cholesterol checked?,codebook meaning requires manual verification
HPVTEST,count,7,3865,An HPV test is sometimes given with the Pap test for cervical cancer screening. Have you ever had an HPV test?,codebook meaning requires manual verification
ALCDAY5,count,777,1869,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?",codebook meaning requires manual verification
HIVTST6,categorical,9,1771,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include testing fluid from your mouth.,codebook meaning requires manual verification
EXRACT21,categorical,77,1679,What other type of physical activity gave you the next most exercise during the past month?,codebook meaning requires manual verification
ALCDAY5,count,999,1513,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?",codebook meaning requires manual verification
FLUSHOT6,categorical,9,1227,"During the past 12 months, have you had either a flu shot or a flu vaccine that was sprayed in your nose? (A new flu shot came out in 2011 that injects vaccine into the skin with a very small needle. It is called Fluzone Intradermal vaccine. This is also considered a flu shot.)",codebook meaning requires manual verification
CASTHDX2,categorical,9,1159,"Has a doctor, nurse or other health professional EVER said that the child has asthma?",codebook meaning requires manual verification
SMOKE100,categorical,7,1072,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],codebook meaning requires manual verification
SMOKE100,categorical,9,872,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],codebook meaning requires manual verification
ASTHMA3,categorical,7,778,(Ever told) you had asthma?,codebook meaning requires manual verification
HPVADVC2,categorical,7,607,"Have you ever had the HPV vaccination? (Human Papilloma Virus (Human Pap•uh•loh•muh Virus), Gardasil (Gar•duh• seel), Cervarix (Serv a rix))",codebook meaning requires manual verification
